,X,Y,labels,district
0,18.67216,-31.374664,0,1000001
1,18.67216,-31.374664,0,1000001
2,18.672407,-31.374506,0,1000001
3,18.67216,-31.374664,0,1000001
4,18.67216,-31.374664,0,1000001
5,18.672407,-31.374506,0,1000001
6,-16.294552,-47.470493,0,1000001
7,18.672407,-31.374506,0,1000001
8,18.67216,-31.374664,0,1000001
9,32.765194,32.780186,0,1000001
10,18.67216,-31.374664,0,1000001
11,18.672407,-31.374506,0,1000001
12,18.67216,-31.374664,0,1000001
13,18.67216,-31.374664,0,1000001
14,18.67216,-31.374664,0,1000001
15,18.67216,-31.374664,0,1000001
16,-16.294552,-47.470493,0,1000001
17,18.67216,-31.374664,0,1000001
18,18.672407,-31.374506,0,1000001
19,18.67216,-31.374664,0,1000001
20,18.672407,-31.374506,0,1000001
21,18.66735,-31.371712,0,1000001
22,18.67216,-31.374664,0,1000001
23,32.765194,32.780186,0,1000001
24,18.67216,-31.374664,0,1000001
25,48.49898,-2.3533454,0,1000003
26,48.499065,-2.3534532,0,1000003
27,48.49906,-2.3534536,0,1000003
28,48.49906,-2.3534534,0,1000003
29,48.499065,-2.3534532,0,1000003
30,48.49906,-2.3534534,0,1000003
31,48.49906,-2.3534534,0,1000003
32,48.49898,-2.3533454,0,1000003
33,48.499065,-2.353453,0,1000003
34,48.49906,-2.3534534,0,1000003
35,48.499065,-2.3534534,0,1000003
36,48.484764,-2.5171626,0,1000003
37,48.49898,-2.3533456,0,1000003
38,48.49906,-2.3534534,0,1000003
39,48.49906,-2.3534534,0,1000003
40,48.49906,-2.3534534,0,1000003
41,48.49906,-2.3534534,0,1000003
42,48.49898,-2.3533456,0,1000003
43,48.499058,-2.3534532,0,1000003
44,48.459995,-2.4833336,0,1000003
45,48.49906,-2.3534534,0,1000003
46,48.49906,-2.3534534,0,1000003
47,48.49898,-2.3533454,0,1000003
48,48.499065,-2.3534532,0,1000003
49,48.499065,-2.3534532,0,1000003
50,48.49906,-2.3534534,0,1000003
51,48.460373,-2.4691699,0,1000003
52,48.499058,-2.3534532,0,1000003
53,48.49906,-2.3534534,0,1000003
54,48.49898,-2.3533456,0,1000003
55,7.262096,-28.03508,0,1000004
56,7.262212,-28.035137,0,1000004
57,7.262212,-28.035137,0,1000004
58,7.262096,-28.03508,0,1000004
